section,value
country,AF
country,AL
country,DZ
country,AD
country,AO
country,AG
country,AR
country,AM
country,AU
country,AT
country,AZ
country,BS
country,BH
country,BD
country,BB
country,BY
country,BE
country,BZ
country,BJ
country,BT
country,BO
country,BA
country,BW
country,BR
country,BN
country,BG
country,BF
country,BI
country,CV
country,KH
country,CM
country,CA
country,CF
country,TD
country,CL
country,CN
country,CO
country,KM
country,CG
country,CD
country,CR
country,HR
country,CU
country,CY
country,CZ
country,DK
country,DJ
country,DM
country,DO
country,EC
country,EG
country,SV
country,GQ
country,ER
country,EE
country,SZ
country,ET
country,FJ
country,FI
country,FR
country,GA
country,GM
country,GE
country,DE
country,GH
country,GR
country,GD
country,GT
country,GN
country,GW
country,GY
country,HT
country,HN
country,HU
country,IS
country,IN
country,ID
country,IR
country,IQ
country,IE
country,IL
country,IT
country,JM
country,JP
country,JO
country,KZ
country,KE
country,KI
country,KW
country,KG
country,LA
country,LV
country,LB
country,LS
country,LR
country,LY
country,LI
country,LT
country,LU
country,MG
country,MW
country,MY
country,MV
country,ML
country,MT
country,MH
country,MR
country,MU
country,MX
country,FM
country,MD
country,MC
country,MN
country,ME
country,MA
country,MZ
country,MM
country,NA
country,NR
country,NP
country,NL
country,NZ
country,NI
country,NE
country,NG
country,MK
country,NO
country,OM
country,PK
country,PW
country,PS
country,PA
country,PG
country,PY
country,PE
country,PH
country,PL
country,PT
country,QA
country,RO
country,RU
country,RW
country,KN
country,LC
country,VC
country,WS
country,SM
country,ST
country,SA
country,SN
country,RS
country,SC
country,SL
country,SG
country,SK
country,SI
country,SB
country,SO
country,ZA
country,SS
country,ES
country,LK
country,SD
country,SR
country,SE
country,CH
country,SY
country,TW
country,TJ
country,TZ
country,TH
country,TL
country,TG
country,TO
country,TT
country,TN
country,TR
country,TM
country,TV
country,UG
country,UA
country,AE
country,GB
country,US
country,UY
country,UZ
country,VU
country,VE
country,VN
country,YE
country,ZM
country,ZW
type,OCCURRENCE
type,CHECKLIST
type,METADATA
type,SAMPLING_EVENT
type,MATERIAL_ENTITY
identifierType,URL
identifierType,LSID
identifierType,HANDLER
identifierType,DOI
identifierType,UUID
identifierType,FTP
identifierType,URI
identifierType,UNKNOWN
identifierType,GBIF_PORTAL
identifierType,GBIF_NODE
identifierType,GBIF_PARTICIPANT
identifierType,GRSCICOLL_ID
identifierType,GRSCICOLL_URI
identifierType,IH_IRN
identifierType,ROR
identifierType,GRID
identifierType,CITES
identifierType,SYMBIOTA_UUID
identifierType,WIKIDATA
identifierType,NCBI_BIOCOLLECTION

